Title,URL
Harvard Law Review Forum,https://harvardlawreview.org/homepage/submissions/
Columbia Law Review Forum,https://live-columbia-law-review.pantheonsite.io/submissions-instructions/
Stanford Law Review Online,https://www.stanfordlawreview.org/submissions/online-article/
Yale Law Journal Forum,https://www.yalelawjournal.org/submissions
California Law Review Online,https://www.californialawreview.org/submit/online/
University of Pennsylvania Law Review Online,https://pennlawreview.com/submit/
Michigan Law Review Online,https://michiganlawreview.org/submissions/
Cornell Law Review Online,https://www.cornelllawreview.org/submissions/online-article-and-essay-submissions/
Georgetown Law Journal Online,https://www.law.georgetown.edu/georgetown-law-journal/submit/glj-online/
New York University Law Review Online Features,https://www.nyulawreview.org/submissions/
Duke Law Journal Online,https://dlj.law.duke.edu/about/submissions/
University of Chicago Law Review Online,https://lawreviewblog.uchicago.edu/submit-a-post/
Virginia Law Review Online,https://virginialawreview.org/submissions/online/
Northwestern University Law Review Online,https://northwesternlawreview.org/submissions/online/
Vanderbilt Law Review En Banc,https://vanderbiltlawreview.org/lawreview/enbanc/about-enbanc/
Minnesota Law Review Headnotes,https://minnesotalawreview.org/submissions/
Iowa Law Review Online,https://ilr.law.uiowa.edu/about/submissions
Boston University Law Review Online,https://www.bu.edu/bulawreview/submissions/
Fordham Law Review Online,https://fordhamlawreview.org/about-us/
UCLA Law Review Discourse,https://www.uclalawreview.org/submission-guidelines-for-discourse/
Boston College Law Review E. Supp.,https://bclawreview.bc.edu/about/submissions
Texas Law Review Online,https://texaslawreview.org/submissions/
Indiana Law Journal Supplement,https://ilj.law.indiana.edu/submit/
Notre Dame Law Review Reflection,https://ndlawreview.org/submissions/overview/
UC Davis Law Review Online,https://lawreview.law.ucdavis.edu/submissions
Washington University Law Review Commentaries,https://wustllawreview.org/submissions/
Yale Journal on Regulation Bulletin,https://www.yalejreg.com/submissions/
Southern California Law Review Postscript,https://southerncalifornialawreview.com/submissions/
George Washington Law Review Arguendo,https://www.gwlr.org/arguendo-submission/
University of Illinois Law Review Online,https://illinoislawreview.org/submissions/
Florida Law Review Forum,https://www.floridalawreview.com/for-authors
Washington Law Review Online,https://washingtonlawreview.org/submissions/
William & Mary Law Review Online,https://wmlawreview.org/submissions
WLR Forward,https://wlr.law.wisc.edu/submissions/
Cardozo Law Review De Novo,http://cardozolawreview.com/submissions/
JOLT Digest,https://goo.gl/forms/Q3n6pXKmkDr6Qmkg1
NCLR Forum,https://northcarolinalawreview.org/submissions/
Harvard CR-CL Amicus Blog,https://journals.law.harvard.edu/crcl/submit/
BTLJ Commentaries,https://btlj.org/submissions/
Arizona Law Review Syllabus,https://arizonalawreview.org/syllabus-archive/
Ohio State Law Journal Online,https://moritzlaw.osu.edu/oslj-submissions
Utah OnLaw,https://dc.law.utah.edu/onlaw/
Emory Law Journal Online,https://scholarlycommons.law.emory.edu/elj/policies.html
American University Law Review Forum,https://aulawreview.org/submissions/
Lewis & Clark Law Review Online Supplement,https://law.lclark.edu/law_reviews/lewis_and_clark_law_review/submit_an_article/
ALR Accord,https://administrativelawreview.org/submissions/
Maryland Law Review Online,https://www.marylandlawreview.org/online-submissions
Wake Forest Law Review Online,https://www.wakeforestlawreview.com/submissions/
University of Colorado Law Review Forum,https://lawreview.colorado.edu/contact/
Connecticut Law Review Online,https://connecticutlawreview.law.uconn.edu/submissions/
CBLR Online,https://journals.library.columbia.edu/index.php/CBLR/about/submissions
Yale Journal of Law & Technology: The Record,https://yjolt.org/
Duke Journal of Constitutional Law & Public Policy Sidebar,https://djclpp.law.duke.edu/submissions/
Washington and Lee Law Review Online,https://lawreview.wlulaw.wlu.edu/online-edition/
Buffalo Law Review The Docket,https://digitalcommons.law.buffalo.edu/the_docket/
Denver Law Review Forum,https://www.denverlawrev.org/forumsubmissions
YJIL Online,https://www.yjil.yale.edu/submissions/yjil-online-features-submissions/
American Criminal Law Review Online,https://www.law.georgetown.edu/american-criminal-law-review/submissions/
JOL Online,https://journals.law.harvard.edu/jol/submissions/
Nevada Law Journal Forum,https://law.unlv.edu/nevada-law-journal/submissions
TLR Online,https://www.tulanelawreview.org/submissions
SLPR Online,https://law.stanford.edu/stanford-law-policy-review-slpr/slpr-submissions/
University of Michigan Journal of Law Reform Caveat,https://mjlr.org/caveat-submissions/
North Carolina Journal Of Law & Technology Online Edition,https://ncjolt.org/submissions/
Footnote Forum,https://www.cunylawreview.org/submissions/
Yale Law & Policy Review Inter Alia,https://ylpr.yale.edu/submissions
Harvard Law & Policy Review Online,https://journals.law.harvard.edu/lpr/submissions/
University of Richmond Law Review Online Web Forum,https://lawreview.richmond.edu/submissions/
Harvard Journal of Law & Gender Online,https://journals.law.harvard.edu/jlg/getting-involved-2/contributing-to-online-content/
University of Pennsylvania Journal of Constitutional Law Online,https://pennjournalconlaw.com/submissions.html
Harvard International Law Journal Online,https://journals.law.harvard.edu/ilj/submissions/online-submissions/
Texas A&M Law Review Arguendo,https://law.tamu.edu/current-students/academics/law-journals/law-review/online-submissions
Houston Law Review Online,https://houstonlawreview.org/pages/218-houston-law-review-online
GMLR Forum,https://lawreview.gmu.edu/submissions/
Penn State Law Review Penn Statim,https://www.pennstatelawreview.org/penn-statim-submissions/
Temple Law Review Online,https://www.templelawreview.org/submissions/
Villanove Law Review Tolle Lege,https://www.villanovalawreview.com/for-authors
Nebraska Law Review Bulletin,https://lawreview.unl.edu/submissions-1
Ohio State Journal of Criminal Law Amici Briefs,https://moritzlaw.osu.edu/osjcl-amici-briefs
Loyola University Chicago Law Journal Online,https://loyola-chicago-law-journal.scholasticahq.com/for-authors
Seattle University Law Review SUpra,https://digitalcommons.law.seattleu.edu/sulr/policies.html
JLB Online,https://www.nyujlb.org/submissions
GJPLP Online,https://www.law.georgetown.edu/poverty-journal/submissions/
Ecology Law Currents,https://www.ecologylawquarterly.org/wp-content/uploads/2021/04/Currents-Submission-Requirements-2021-22.pdf
West Virginia Law Review Online,https://wvlawreview.wvu.edu/submissions
Columbia Science and Technology Law Review Blog,https://journals.library.columbia.edu/index.php/stlr/about/submissions
LLR Lagniappe,https://lawreview.law.lsu.edu/llr-lagniappe/
The Bulletin,https://www.jtl.columbia.edu/submissions
Rutgers University Law Review Commentaries,https://rutgerslawreview.com/commentaries/
Kentucky Law Journal Online,https://www.kentuckylawjournal.org/submissions
Harvard National Security Journal Online Edition,https://harvardnsj.org/submissions/
Northeastern University Law Review Extra Legal,https://nulawreview.org/submissions
Touro Law Review Blog,https://tourolawreviewblog.wpcomstaging.com/about/
UMLR Caveat,https://lawreview.law.miami.edu/online-edition-submissions/
Chicago-Kent Journal of Intellectual Property Blog,https://studentorgs.kentlaw.iit.edu/ckjip/submissions/
Harvard Environmental Law Review Online,https://journals.law.harvard.edu/elr/submissions-2/
Indiana Law Review Blog,https://indianalawreview.com/submit-a-blog-post/
JOLT Blog University of Richmond,https://jolt.richmond.edu/interested-in-contributing-to-the-jolt-blog/
Drake Law Review Discourse,https://drakelawreview.org/about-discourse/
"Washington Journal of Law, Technology & Arts Blog",https://wjlta.com/submissions/
Mississippi Law Journal Blog,https://mississippilawjournal.org/submissions/
Boston College Intellectual Property and Technology Forum Blog,https://bciptf.scholasticahq.com/for-authors
LawSci Forum,https://mjlst.lib.umn.edu/about-lawsci-forum/
"Business, Entrepreneurship & Tax Law Review Forum",https://law.missouri.edu/betr/submissions/
JEEL Blog,https://studentorgs.kentlaw.iit.edu/ckjeel/blog-submissions/
Gonzaga Journal of International Law Blog,https://gjil.scholasticahq.com/for-authors
Harvard Journal of Sports and Entertainment Law Blog,https://journals.law.harvard.edu/jsel/submissions/
Journal of Animal & Environmental Law Blog,https://www.louisvillejael.com/submissions
Law Journal for Social Justice Blog,https://lawjournalforsocialjustice.com/submissions/
Rutgers Law Record Blog,https://lawrecord.com/submissions/
Georgetown Environmental Law Review Online Supplement,https://www.law.georgetown.edu/environmental-law-review/submissions/
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
